net,length_um
net13,473.86
net4,452.1
net3,421.48
net7,380.16
net9,372.64
net10,351.32
net1,301.1
net2,285.5
net5,271.64
net6,259.26
clk,207.9
net8,202.3
net11,186.1
_064_,160.72
net16,108.54
net14,81.62
net12,70.66
alu.sel\[2\],65.01
_025_,60.88
_013_,60.7
_008_,55.8
_054_,54.02
_029_,53.555
_006_,52.74
net15,51.82
_007_,51.32
_063_,50.82
_017_,44.44
B[1],40.88
Y[2],40.08
_020_,40.04
_011_,37.86
_009_,32.24
_024_,31.62
A[1],31.44
A[3],30.64
clknet_0_clk,26.86
_040_,25.86
_028_,24.495
_050_,22.78
alu.sel\[1\],21.64
rst,21.49
Y[3],21.2
Carry,20.76
B[3],20.64
A[2],20.35
Y[0],20.35
_056_,20.28
_052_,20.13
B[0],19.94
B[2],19.72
Zero,19.67
_010_,19.62
A[0],19.45
Y[1],19.11
clknet_1_0__leaf_clk,19.02
alu.sel\[0\],17.54
_049_,17.06
_035_,16.52
net17,15.145
_068_,14.96
_037_,14.46
_053_,13.62
_032_,12.08
_041_,11.3
_016_,9.36
_027_,8.4
_033_,8.3
clknet_1_1__leaf_clk,7.6
_051_,7.52
_023_,7.46
_058_,6.3
_034_,6.06
_047_,5.98
_045_,5.74
_031_,5.72
_012_,5.68
_002_,4.94
_043_,4.8
_001_,4.68
_066_,4.68
_018_,4.34
_048_,4.34
_039_,4
_046_,4
_055_,4
_014_,3.88
_021_,3.88
_059_,3.88
_065_,3.88
_019_,3.56
_062_,3.42
_070_,3.42
_015_,2.62
_022_,2.62
_038_,2.5
_061_,2.5
_042_,2.3
_004_,2.23
_067_,2.17
_030_,2.06
_005_,2.04
_026_,1.84
_000_,1.82
_044_,1.72
_060_,1.72
_069_,1.72
_057_,1.7
_003_,1.36
_036_,0.46
